!SIL sil
<UNK> spn
żal	Z a l
chytre	h i2 t r e
pośród	p o sj r u d
idą	i d oc5
prusy	p r u s i2
wyznawca	v i2 z n a v c a
zapłacze	z a p w a tS e
tydzień-	t i2 dzj e n~ e
ekstrawagancji	e k s t r a v a g a n c j i
przyjrzyj	p S i2 j Z i2 j
jakichkolwiek	j a k i h k o l v i e k
narzędzie	n a Z eo5 dzj e
ciasto	tsj a s t o
komputer	k o m p u t e r
kochają	k o h a j oc5
olimpiady	o l j m p i a d i2
pozostają	p o z o s t a j oc5
poznanie	p o z n a n i e
motoryzacja	m o t o r i2 z a c j a
kolorowego	k o l o r o v e g o
zaprezentowałam	z a p r e z e n t o v a w a m
wędrówki	v eo5 d r u v k i
roztacza	r o z t a tS a
uznać	u z n a tsj
facetów	f a c e t u v
oprócz	o p r u tS
roślin	r o sj l j n
loren	l o r e n
romansować	r o m a n s o v a tsj
warunkiem	v a r u n k i e m
pokuty	p o k u t i2
milimetr	m i l j m e t r
młody	m w o d i2
phillippe	p h j l l j p p e
mieszkaniu	m i e S k a n i u
wydaniem	v i2 d a n i e m
pokaże	p o k a Z e
żadne	Z a d n e
bym	b i2 m
diabeł	d j a b e w
rozdzierającego	r o z dzj e r a j oc5 c e g o
traktowane	t r a k t o v a n e
mocarstwo	m o c a r s t f o
zaabsorbowanej	z a a b s o r b o v a n e j
wrzuceniem	v Z u c e n i e m
komputerach	k o m p u t e r a h
wcześniejsze	v tS e sj n i e j S e
inaczej	i n a tS e j
podającą	p o d a j oc5 c oc5
sto	s t o
watteau	v a t t e a u
brzuch	b Z u h
proszę	p r o S e
związków	z v i oc5 z k u v
murów	m u r u v
mną	m n oc5
image	i m a g e
sofoklesa	s o f o k l e s a
tu	t u
wizerunek	v i z e r u n e k
głębokości	g w eo5 b o k o sj tsj i
wielka-	v i e l k a e
zmęczony	z m eo5 tS o n i2
zdanie	z d a n i e
chrapiesz	h r a p i e S
ludzka	l u dz k a
strzaskali	s t S a s k a l j
żegnają	Z e g n a j oc5
graficzne	g r a f i tS n e
posłuszny	p o s w u S n i2
chłop	h w o p
właściwości	v w a sj tsj i v o sj tsj i
sen	s e n
zerwania	z e r v a n i a
plotzke	p l o t z k e
oto	o t o
ostatnia	o s t a t n i a
uda	u d a
umiał	u m i a w
pannie	p a n n i e
stosowane	s t o s o v a n e
skraju	s k r a j u
makijaż	m a k i j a S
przewodnik	p S e v o d n i k
olejków	o l e j k u v
wyjściowego	v i2 j sj tsj o v e g o
litych	l j t i2 h
podjęły	p o d j eo5 w i2
młodsze	m w o d S e
dopiero	d o p i e r o
podejrzałem	p o d e j Z a w e m
przeszkadza	p S e S k a dz a
klątwę	k l oc5 t f e
ognista	o g n i s t a
załatwiłem	z a w a t f i w e m
tradycja	t r a d i2 c j a
kocha	k o h a
znakami	z n a k a m i
doskonałego	d o s k o n a w e g o
niezliczone	n i e z l j tS o n e
ogłosił	o g w o sj i w
tanga	t a n g a
zarazem	z a r a z e m
382	S i2 o sj d
ogólny	o g u l n i2
widzisz	v i dzj i S
ciemności	tsj e m n o sj tsj i
artystycznych	a r t i2 s t i2 tS n i2 h
wyglądacie	v i2 g l oc5 d a tsj e
chwilę	h v i l e
odpowiedzi	o d p o v i e dzj i
szczególne	S tS e g u l n e
lewą	l e v oc5
zimno	zj i m n o
zdaniem	z d a n i e m
zasypiam	z a s i2 p i a m
łaskawą	w a s k a v oc5
całkowite	c a w k o v i t e
podglądać	p o d g l oc5 d a tsj
prostą	p r o s t oc5
misiuro	m i sj i u r o
gęstnieje	g eo5 s t n i e j e
rozpacz	r o z p a tS
polityki	p o l j t i2 k i
skupienia	s k u p i e n i a
tworzenia	t f o Z e n i a
dawid	d a v i d
odczuwa	o d tS u v a
otulił	o t u l j w
wziąć	v zj oc5 tsj
rzeczywiście	Z e tS i2 v i sj tsj e
fasady	f a s a d i2
minutach	m i n u t a h
obronić	o b r o n i tsj
chodził	h o dzj i w
międzyludzkie	m i eo5 dz i2 l u dz k i e
niemiara	n i e m i a r a
niosące	n i o s oc5 c e
barw	b a r v
rewolucji	r e v o l u c j i
bezsensownej	b e z s e n s o v n e j
zawieść	z a v i e sj tsj
oddali	o d d a l j
1999	v i eo5 t eo5 tsj eo5 tsj
imprezy	i m p r e z i2
wodzie	v o dzj e
latają	l a t a j oc5
indywidualnych	i n d i2 v i d u a l n i2 h
zamówić	z a m u v i tsj
wie	v i e
poczuła	p o tS u w a
klawisz	k l a v i S
obiecujące	o b i e c u j oc5 c e
rozkrzyżowanymi	r o z k S i2 Z o v a n i2 m i
wracała	v r a c a w a
wszelakim	v S e l a k i m
ten	t e n
horyzonty	h o r i2 z o n t i2
powiedziane	p o v i e dzj a n e
rozważamy	r o z v a Z a m i2
50-metre	p i t m e t r e
wyznana	v i2 z n a n a
izby	i z b i2
wyraźnie	v i2 r a zj n i e
pozwalającym	p o z v a l a j oc5 c i2 m
ogarniętej	o g a r n i eo5 t e j
liturgiii	l j t u r g i i i
zaletą	z a l e t oc5
chama	h a m a
naszych	n a S i2 h
niewygód	n i e v i2 g u d
pierwszej	p i e r v S e j
obliczu	o b l j tS u
ale	a l e
słuchacze	s w u h a tS e
rodziny	r o dzj i n i2
dociera	d o tsj e r a
bestselleru	b e s t s e l l e r u
epoce	e p o c e
picie	p i tsj e
depresję	d e p r e s j e
siedział	sj e dzj a w
długości	d w u g o sj tsj i
lepiej-	l e p i e j e
stanowią	s t a n o v i oc5
wcale	v c a l e
majątkowych	m a j oc5 t k o v i2 h
śmierć-	sj m i e r tsj e
skórę	s k u r e
wolałabym	v o l a w a b i2 m
agitacja	a g i t a c j a
utratą	u t r a t oc5
sartre	s a r t r e
otwiera	o t f i e r a
usypano	u s i2 p a n o
wydartych	v i2 d a r t i2 h
kiełpie	k i e w p i e
sternika	s t e r n i k a
miał	m i a w
niekiedy	n i e k i e d i2
pirat	p i r a t
idziemy	i dzj e m i2
szacuje	S a c u j e
spełnić	s p e w n i tsj
ja-	j a e
kocham	k o h a m
włosy	v w o s i2
wymagają	v i2 m a g a j oc5
jesteśmy	j e s t e sj m i2
rozumem	r o z u m e m
modne	m o d n e
talentu	t a l e n t u
marie	m a r j e
płacz	p w a tS
dwory	d v o r i2
ktoś	k t o sj
zupy	z u p i2
krokodylek	k r o k o d i2 l e k
męskie-	m eo5 s k i e e
fiodora	f i o d o r a
niweczyły	n i v e tS i2 w i2
albo	a l b o
symbole	s i2 m b o l e
każdego	k a Z d e g o
zrozumiałe	z r o z u m i a w e
smutek	s m u t e k
wyobraźni	v i2 o b r a zj n i
znalazł	z n a l a z w
pozbawioną	p o z b a v i o n oc5
nieskończoną	n i e s k o n~ tS o n oc5
spojrzeniem	s p o j Z e n i e m
chorobę	h o r o b e
muzyce	m u z i2 c e
spotkanie	s p o t k a n i e
nasza	n a S a
go	g o
drżała	d r Z a w a
rozłożony	r o z w o Z o n i2
amerykance	a m e r i2 k a n c e
pisarską	p i s a r s k oc5
zawód	z a v u d
idealnie	i d e a l n i e
obmierzły	o b m i e Z w i2
żel	Z e l
zwiększy	z v i eo5 k S i2
między	m i eo5 dz i2
indziej	i n dzj e j
obfitość	o b f i t o sj tsj
zauważyłem	z a u v a Z i2 w e m
stała	s t a w a
zaśpiewają	z a sj p i e v a j oc5
pragnie	p r a g n i e
sterowania	s t e r o v a n i a
nośnikiem	n o sj n i k i e m
wyrasta	v i2 r a s t a
najgłośniejszym	n a j g w o sj n i e j S i2 m
wymijającą	v i2 m i j a j oc5 c oc5
wystarczył	v i2 s t a r tS i2 w
wesprzeć	v e s p S e tsj
opadły	o p a d w i2
blask	b l a s k
martwą	m a r t f oc5
jadło	j a d w o
matematycznej	m a t e m a t i2 tS n e j
naszą	n a S oc5
gównem	g u v n e m
niepogrzebane	n i e p o g Z e b a n e
la	l a
zdań	z d a n~
dodaj	d o d a j
głębiej	g w eo5 b i e j
zabłysnąć	z a b w i2 s n oc5 tsj
polifoniczne	p o l j f o n i tS n e
zaplanowanego	z a p l a n o v a n e g o
jezus	j e z u s
chełmna	h e w m n a
prawideł	p r a v i d e w
użytkowników	u Z i2 t k o v n i k u v
żyć	Z i2 tsj
byłbym	b i2 w b i2 m
mieszankę	m i e S a n k e
ilością	i l o sj tsj oc5
karmy	k a r m i2
postanowienia	p o s t a n o v i e n i a
poznawać	p o z n a v a tsj
wszystkim	v S i2 s t k i m
insygnia	i n s i2 g n i a
odwet-	o d v e t
modlitwa	m o d l j t f a
dźwięk	dzj v i eo5 k
bezpiecznie	b e z p i e tS n i e
wdzierała	v dzj e r a w a
kapeluszy	k a p e l u S i2
rozpoznać	r o z p o z n a tsj
drzwi	d Z v i
miłą	m i w oc5
rolników	r o l n i k u v
spektakl	s p e k t a k l
ciemnością	tsj e m n o sj tsj oc5
dlatego	d l a t e g o
pytanie	p i2 t a n i e
pół	p u w
wcielić	v tsj e l j tsj
najczęściej	n a j tS eo5 sj tsj e j
nawozem	n a v o z e m
daje	d a j e
15	s t n tsj
wyposażonych	v i2 p o s a Z o n i2 h
tworzyć	t f o Z i2 tsj
niemożliwe	n i e m o Z l j v e
tańcujące	t a n~ c u j oc5 c e
początek	p o tS oc5 t e k
wjazd	v j a z d
bożych	b o Z i2 h
trzynastego	t S i2 n a s t e g o
samotności	s a m o t n o sj tsj i
cia	tsj a
sekrety	s e k r e t i2
ciekawą	tsj e k a v oc5
rozmaitości	r o z m a i t o sj tsj i
innych	i n n i2 h
nigdzie	n i g dzj e
wes	v e s
lustrze	l u s t S e
nagle	n a g l e
we	v e
wyrazem	v i2 r a z e m
osiągnę	o tsj oc5 g n e
kultury	k u l t u r i2
l'oreal	l o r e a l
państwowej	p a n~ s t f o v e j
wariant	v a r j a n t
fragonarda	f r a g o n a r d a
kariera	k a r j e r a
wroga	v r o g a
aktualnym	a k t u a l n i2 m
piszczel	p i S tS e l
udźwignie	u dzj v i g n i e
2,3	d S i2
wprost	v p r o s t
przyszłość	p S i2 S w o sj tsj
zdmuchnąć	z d m u h n oc5 tsj
niewielkich	n i e v i e l k i h
niezapomniane	n i e z a p o m n i a n e
kosmosu	k o s m o s u
ciekawa	tsj e k a v a
ukradkiem	u k r a t k i e m
broń	b r o n~
17	s t e
chrztu	h Z t u
ostępów	o s t eo5 p u v
doświadczony	d o sj v i a d tS o n i2
adwokatem	a d v o k a t e m
podnosząca	p o d n o S oc5 c a
wiedzą	v i e dz oc5
scenie	s c e n i e
efekt	e f e k t
tylko	t i2 l k o
proste	p r o s t e
zaczął	z a tS oc5 w
św	sj v
zostaje	z o s t a j e
musiałem	m u tsj a w e m
wygrywała	v i2 g r i2 v a w a
operuje	o p e r u j e
krainę	k r a i n e
walki	v a l k i
oblężeniach	o b l eo5 Z e n i a h
historii	h j s t o r j i
wygnieciesz	v i2 g n i e tsj e S
centralny	c e n t r a l n i2
drżące	d r Z oc5 c e
krwi	k r v i
słońca	s w o n~ c a
adaptacja	a d a p t a c j a
mullins	m u l l j n s
scenografię	s c e n o g r a f i e
chemiczny	h e m i tS n i2
związku	z v i oc5 z k u
zauważ	z a u v a S
uśmiechu	u sj m i e h u
wszechświatów	v S e h sj v i a t u v
przydatne	p S i2 d a t n e
wykazały	v i2 k a z a w i2
gazetą	g a z e t oc5
sieczkowska	sj e tS k o v s k a
niebycie	n i e b i2 tsj e
chichen	h j h e n
zadaniom	z a d a n i o m
stan	s t a n
niby	n i b i2
sztuką	S t u k oc5
bogów	b o g u v
przypadkowych	p S i2 p a t k o v i2 h
interesować	i n t e r e s o v a tsj
bóg	b u g
pochówku	p o h u v k u
wypiera	v i2 p i e r a
włączona	v w oc5 tS o n a
duma	d u m a
pastować	p a s t o v a tsj
zwykłego	z v i2 k w e g o
sprawom	s p r a v o m
użyła	u Z i2 w a
przetargi	p S e t a r g i
wagę	v a g e
radosną	r a d o s n oc5
wydawały	v i2 d a v a w i2
brzydkie	b Z i2 t k i e
trzymać	t S i2 m a tsj
łamać	w a m a tsj
widok	v i d o k
znakiem	z n a k i e m
postawienie	p o s t a v i e n i e
sądem	s oc5 d e m
wywlekli	v i2 v l e k l j
ii	i i
królewski	k r u l e v s k i
nadawało	n a d a v a w o
pyszne	p i2 S n e
podbity	p o d b i t i2
życiu	Z i2 tsj u
obiektywny	o b i e k t i2 v n i2
przemyślną	p S e m i2 sj l n oc5
kolejną	k o l e j n oc5
spodziewasz	s p o dzj e v a S
ręka	r eo5 k a
śnisz	sj n i S
arystokrata	a r i2 s t o k r a t a
nadużywania	n a d u Z i2 v a n i a
rozwagę	r o z v a g e
radości	r a d o sj tsj i
kompleksu	k o m p l e k s u
jednozdaniowej	j e d n o z d a n i o v e j
obraz	o b r a z
powtarzanie	p o v t a Z a n i e
zwierzęcą	z v i e Z eo5 c oc5
rozbiegli	r o z b i e g l j
pastelowej	p a s t e l o v e j
mieć	m i e tsj
wzmógł	v z m u g w
stu	s t u
zamianę	z a m i a n e
piękną	p i eo5 k n oc5
tyran	t i2 r a n
bułhakowa	b u w h a k o v a
wszak	v S a k
kroki	k r o k i
identyczna	i d e n t i2 tS n a
współpracowali	v s p u w p r a c o v a l j
nowej	n o v e j
wojtku	v o j t k u
zaszczepiać	z a S tS e p i a tsj
pewni	p e v n i
wypadku	v i2 p a t k u
drugi	d r u g i
utracą	u t r a c oc5
wyspiańskiego	v i2 s p i a n~ s k i e g o
podobnej	p o d o b n e j
jakimś	j a k i m sj
bohaterów-	b o h a t e r u v
składnik	s k w a d n i k
simów	sj i m u v
rzęsy	Z eo5 s i2
tchnienie	t h n i e n i e
słowian	s w o v i a n
nieliczni	n i e l j tS n i
miara	m i a r a
oddanego	o d d a n e g o
wiele	v i e l e
pewnego	p e v n e g o
znawcy	z n a v c i2
ponętna	p o n eo5 t n a
powszechna	p o v S e h n a
zafundowaliśmy	z a f u n d o v a l j sj m i2
twarzy	t f a Z i2
b-2	b e o d
pierwszy	p i e r v S i2
leczą	l e tS oc5
her	h e r
zda	z d a
heisenberga	h e i s e n b e r g a
błysk	b w i2 s k
struktura	s t r u k t u r a
owiń	o v i n~
sypkim	s i2 p k i m
bolesną	b o l e s n oc5
wody	v o d i2
komentatorzy	k o m e n t a t o Z i2
zrekompensować	z r e k o m p e n s o v a tsj
nie	n i e
twórcy	t f u r c i2
stanem	s t a n e m
szkole	S k o l e
kartkach	k a r t k a h
wyobraziłam	v i2 o b r a zj i w a m
ciekawsze	tsj e k a v S e
dużo	d u Z o
tarcia	t a r tsj a
świat	sj v i a t
dumanie	d u m a n i e
czegoś	tS e g o sj
zmaganiach	z m a g a n i a h
tak	t a k
seksu	s e k s u
korbę	k o r b e
oczywistym	o tS i2 v i s t i2 m
ma	m a
każdym	k a Z d i2 m
iluminacja	i l u m i n a c j a
kolana	k o l a n a
wymiar	v i2 m i a r
futro	f u t r o
wiedział	v i e dzj a w
chcę	h c e
wyślizgane	v i2 sj l j z g a n e
kamienne	k a m i e n n e
okrążała	o k r oc5 Z a w a
ulokowanej	u l o k o v a n e j
smażonych	s m a Z o n i2 h
zostać	z o s t a tsj
przodu	p S o d u
testujący	t e s t u j oc5 c i2
lat	l a t
pląsająca	p l oc5 s a j oc5 c a
tyle	t i2 l e
wyczerpię	v i2 tS e r p i e
pytam	p i2 t a m
wymaga	v i2 m a g a
odłogiem	o d w o g i e m
spostrzeżenia	s p o s t S e Z e n i a
nieprzezroczystości	n i e p S e z r o tS i2 s t o sj tsj i
milczenia	m i l tS e n i a
peruk	p e r u k
myśleniu	m i2 sj l e n i u
szczery	S tS e r i2
przemienił	p S e m i e n i w
otworem	o t f o r e m
towarzysz	t o v a Z i2 S
kiwają	k i v a j oc5
młodsza	m w o d S a
głos	g w o s
znajdzie	z n a j dzj e
czekającą	tS e k a j oc5 c oc5
szczególnie	S tS e g u l n i e
piany	p i a n i2
drzew	d Z e v
tamten	t a m t e n
romantyczne	r o m a n t i2 tS n e
kategoriach	k a t e g o r j a h
niebiesiech	n i e b i e sj e h
nieczytelna	n i e tS i2 t e l n a
italią	i t a l j oc5
człowieka	tS w o v i e k a
scenę	s c e n e
robi	r o b i
przyjętej	p S i2 j eo5 t e j
zapraszając	z a p r a S a j oc5 c
biorą	b i o r oc5
zaułka	z a u w k a
ciężarów	tsj eo5 Z a r u v
muskaj	m u s k a j
figury	f i g u r i2
misiury	m i sj u r i2
gigantyczną	g i g a n t i2 tS n oc5
miód	m i u d
seks	s e k s
łaskawe	w a s k a v e
doskonałe	d o s k o n a w e
lirę	l j r e
teraz	t e r a z
telewizyjnych	t e l e v i z i2 j n i2 h
uważam	u v a Z a m
kawy	k a v i2
najprościej	n a j p r o sj tsj e j
domagają	d o m a g a j oc5
aleksiej	a l e k sj e j
starym	s t a r i2 m
filtry	f i l t r i2
per	p e r
sprawnie	s p r a v n i e
obejrzysz	o b e j Z i2 S
spłacheć	s p w a h e tsj
pogarda-	p o g a r d a e
johnston	j o h n s t o n
obozu	o b o z u
wacława	v a c w a v a
kwiaty	k f i a t i2
grafomanią	g r a f o m a n i oc5
kitzbuhl	k i t z b u h l
zdarzało	z d a Z a w o
zostawiam	z o s t a v i a m
ludzkie	l u dz k i e
przycisk2_1	p S i2 tsj i s k d v a tS t
poczytnością	p o tS i2 t n o sj tsj oc5
gierka	g i e r k a
wittgenstein	v i t t g e n s t e i n
poznając	p o z n a j oc5 c
odrobiną	o d r o b i n oc5
ziemiom	zj e m i o m
angleberta	a n g l e b e r t a
przypadek	p S i2 p a d e k
jedną	j e d n oc5
chińskiemu	h j n~ s k i e m u
czyny	tS i2 n i2
otaczane	o t a tS a n e
przycisnął	p S i2 tsj i s n oc5 w
piętra	p i eo5 t r a
poszukiwania	p o S u k i v a n i a
dziw	dzj i v
zażywa	z a Z i2 v a
wprowadźmy	v p r o v a dzj m i2
instruujecie	i n s t r u u j e tsj e
zawiódł	z a v i u d w
realnym	r e a l n i2 m
możliwości	m o Z l j v o sj tsj i
blush	b l u s h
pisania	p i s a n i a
przypadkach	p S i2 p a t k a h
bootującej	b o o t u j oc5 c e j
zrobić	z r o b i tsj
boją	b o j oc5
złorzeczenie	z w o Z e tS e n i e
rękę	r eo5 k e
łoskotem	w o s k o t e m
elementarne	e l e m e n t a r n e
wierząc	v i e Z oc5 c
nastroił	n a s t r o i w
złudzeń	z w u dz e n~
zerkać	z e r k a tsj
drivemapper	d r j f e m a p p e r
wszystkiego	v S i2 s t k i e g o
czeluści	tS e l u sj tsj i
ode	o d e
dalekie	d a l e k i e
zmiana	z m i a n a
odważyłem	o d v a Z i2 w e m
krzywdy	k S i2 v d i2
he	h e
zjedzeniu	z j e dz e n i u
dziennikarzy	dzj e n n i k a Z i2
ofert	o f e r t
pierwsza	p i e r v S a
ohydny	o h i2 d n i2
całym	c a w i2 m
samego	s a m e g o
myśl	m i2 sj l
pozycja	p o z i2 c j a
zdobył	z d o b i2 w
miało	m i a w o
grzechu	g Z e h u
wieku	v i e k u
zza	z z a
suchej	s u h e j
stopy	s t o p i2
policzkach	p o l j tS k a h
this	t h j s
lecz	l e tS
wzajemnego	v z a j e m n e g o
pomidorówką	p o m i d o r u v k oc5
utworzyliśmy	u t f o Z i2 l j sj m i2
pytania	p i2 t a n i a
pomyślałem	p o m i2 sj l a w e m
możliwy	m o Z l j v i2
tryb	t r i2 b
błędnym	b w eo5 d n i2 m
zwracamy	z v r a c a m i2
reżyserem	r e Z i2 s e r e m
przygotowałam	p S i2 g o t o v a w a m
pirata	p i r a t a
bełku	b e w k u
metafora	m e t a f o r a
bramą	b r a m oc5
obsługi	o b s w u g i
ról	r u l
niepyszni	n i e p i2 S n i
sufitu	s u f i t u
możesz	m o Z e S
drzewa	d Z e v a
przyspieszać	p S i2 s p i e S a tsj
duchowego	d u h o v e g o
zastawił	z a s t a v i w
brzmi	b Z m i
wypełnić	v i2 p e w n i tsj
zatrzymanych	z a t S i2 m a n i2 h
jakiś	j a k i sj
śledztwo	sj l e dz t f o
poczujesz	p o tS u j e S
złudzenia	z w u dz e n i a
wciągnij	v tsj oc5 g n i j
starożytne	s t a r o Z i2 t n e
chroni	h r o n i
annette	a n n e t t e
fizyki	f i z i2 k i
chwilami	h v i l a m i
polskie	p o l s k i e
podbródek	p o d b r u d e k
psa	p s a
zakrawa	z a k r a v a
jakiegoś	j a k i e g o sj
jazda	j a z d a
hipoteza	h j p o t e z a
puchar	p u h a r
jakaś	j a k a sj
ho	h o
podnoszenie	p o d n o S e n i e
obrazy	o b r a z i2
97	eo5 t e
20	d t
systemem	s i2 s t e m e m
cichutku	tsj i h u t k u
momenty	m o m e n t i2
docierają	d o tsj e r a j oc5
miejsca	m i e j s c a
teorią	t e o r j oc5
skasowanie	s k a s o v a n i e
odważnych	o d v a Z n i2 h
ludzie	l u dzj e
masowymi	m a s o v i2 m i
starcia	s t a r tsj a
religijny	r e l j g i j n i2
zadawać	z a d a v a tsj
modlitwy	m o d l j t f i2
spostrzegłem	s p o s t S e g w e m
mało	m a w o
około	o k o w o
elementy	e l e m e n t i2
niecną	n i e c n oc5
zrobiłaś	z r o b i w a sj
widziałaś	v i dzj a w a sj
tarcic	t a r tsj i c
obudziła	o b u dzj i w a
których	k t u r i2 h
buntowniczy	b u n t o v n i tS i2
miniaturowym	m i n i a t u r o v i2 m
jakieś	j a k i e sj
obcowanie	o b c o v a n i e
przysypanie	p S i2 s i2 p a n i e
dotyczą	d o t i2 tS oc5
zalewała	z a l e v a w a
dotyk	d o t i2 k
reese	r e e s e
przemocy	p S e m o c i2
szybkich	S i2 b k i h
powstając	p o v s t a j oc5 c
wrażliwości	v r a Z l j v o sj tsj i
zdobyć	z d o b i2 tsj
wytępienie	v i2 t eo5 p i e n i e
przesuwamy	p S e s u v a m i2
raną	r a n oc5
złożonej	z w o Z o n e j
pomagać	p o m a g a tsj
długo	d w u g o
fragmentami	f r a g m e n t a m i
przebywają	p S e b i2 v a j oc5
dlaczego	d l a tS e g o
aktywnego	a k t i2 v n e g o
rozwiązania	r o z v i oc5 z a n i a
żelastwa	Z e l a s t f a
sjl	s j l
czucie	tS u tsj e
polegają	p o l e g a j oc5
nimi	n i m i
niespodzianki	n i e s p o dzj a n k i
stole	s t o l e
wniosku	v n i o s k u
polchowa	p o l h o v a
najlepszą	n a j l e p S oc5
utratę	u t r a t e
projekt	p r o j e k t
potworem	p o t f o r e m
otwartego	o t f a r t e g o
współpracowników	v s p u w p r a c o v n i k u v
im	i m
poprosił	p o p r o sj i w
biurowego	b i u r o v e g o
bezbrzeżniej	b e z b Z e Z n i e j
czuje	tS u j e
pracy	p r a c i2
tammona	t a m m o n a
kolejnych	k o l e j n i2 h
cię	tsj i e
podatku	p o d a t k u
wysłany	v i2 s w a n i2
doświadczałeś	d o sj v i a d tS a w e sj
nicości	n i c o sj tsj i
wieczności	v i e tS n o sj tsj i
przestrzeń	p S e s t S e n~
kopalni	k o p a l n i
urządzenie	u Z oc5 dz e n i e
włos	v w o s
steczkowska	s t e tS k o v s k a
często	tS eo5 s t o
przepisywali	p S e p i s i2 v a l j
zaradcze	z a r a d tS e
wrażenie	v r a Z e n i e
notowałem	n o t o v a w e m
źrenice	zj r e n i c e
głośników	g w o sj n i k u v
shop	s h o p
płycie	p w i2 tsj e
zamkniętych-	z a m k n i eo5 t i2 h e
łososi	w o s o sj i
cantilena	c a n t j l e n a
wzruszyło	v z r u S i2 w o
marynarki	m a r i2 n a r k i
księgą	k sj eo5 g oc5
odsłonięcie	o d s w o n i eo5 tsj e
zawarciu	z a v a r tsj u
czasów	tS a s u v
pochodzi	p o h o dzj i
sukcesu	s u k c e s u
lotus	l o t u s
węża	v eo5 Z a
ing	i n g
sens	s e n s
problemem	p r o b l e m e m
razy	r a z i2
przebaczałeś	p S e b a tS a w e sj
wojtek	v o j t e k
fotograficznej	f o t o g r a f i tS n e j
wiekuisty	v i e k u i s t i2
traktuje	t r a k t u j e
kobiet	k o b i e t
chińczycy	h j n~ tS i2 c i2
zapisów	z a p i s u v
ówdzie	u v dzj e
funkcją	f u n k c j oc5
filmów	f i l m u v
potęgi	p o t eo5 g i
świece	sj v i e c e
kota	k o t a
przeżywając	p S e Z i2 v a j oc5 c
model	m o d e l
dialektycznie	d j a l e k t i2 tS n i e
okaże	o k a Z e
akuszera	a k u S e r a
stanowił	s t a n o v i w
ojczyzny	o j tS i2 z n i2
daleka	d a l e k a
brudów	b r u d u v
ubrany	u b r a n i2
stalowe	s t a l o v e
krescencjusza	k r e s c e n c j u S a
ciągu	tsj oc5 g u
kaszubi	k a S u b i
najniższy	n a j n i Z S i2
związkiem	z v i oc5 z k i e m
galaktyk	g a l a k t i2 k
cosmowskazówka	c o s m o v s k a z u v k a
obozowisk	o b o z o v i s k
pqboot	p k b o o t
jakąś	j a k oc5 sj
reakcji	r e a k c j i
gmach	g m a h
eurydyce	e u r i2 d i2 c e
obraca	o b r a c a
reagujesz	r e a g u j e S
kiedyś	k i e d i2 sj
uczestników	u tS e s t n i k u v
opuszczała	o p u S tS a w a
poeta	p o e t a
męki	m eo5 k i
bytów	b i2 t u v
życzliwość	Z i2 tS l j v o sj tsj
dziesiątkuje	dzj e tsj oc5 t k u j e
czytelnik	tS i2 t e l n i k
lutym	l u t i2 m
sił	sj i w
krańce	k r a n~ c e
jeleń	j e l e n~
siera	sj e r a
chciała	h tsj a w a
delikatnie	d e l j k a t n i e
dieta	d j e t a
ostatnią	o s t a t n i oc5
animacje	a n i m a c j e
męskim	m eo5 s k i m
dziwaczny	dzj i v a tS n i2
metodycznemu	m e t o d i2 tS n e m u
trzecia	t S e tsj a
musiało	m u tsj a w o
zainteresowania	z a i n t e r e s o v a n i a
byłem	b i2 w e m
nieprzegotowanej	n i e p S e g o t o v a n e j
lata-	l a t a e
zadowolenia	z a d o v o l e n i a
kopią	k o p i oc5
pomoże	p o m o Z e
przyrostowej-	p S i2 r o s t o v e j e
nabierzesz	n a b i e Z e S
punkt	p u n k t
tytułem	t i2 t u w e m
dziwami	dzj i v a m i
znajomi	z n a j o m i
przykładam	p S i2 k w a d a m
nigdy	n i g d i2
rozmaite	r o z m a i t e
wstrzymany	v s t S i2 m a n i2
stać	s t a tsj
kolano	k o l a n o
banalną	b a n a l n oc5
odbicie	o d b i tsj e
telewizorem	t e l e v i z o r e m
pytali	p i2 t a l j
jaki	j a k i
olbrzymi	o l b Z i2 m i
ostatnie	o s t a t n i e
końcu	k o n~ c u
underwear	u n d e r v e a r
boski	b o s k i
spokój	s p o k u j
zyskuje	z i2 s k u j e
profesjonalnie	p r o f e s j o n a l n i e
jean	j e a n
podpisywać	p o d p i s i2 v a tsj
idealnym	i d e a l n i2 m
kumulacji	k u m u l a c j i
fatalną	f a t a l n oc5
komunię	k o m u n i e
gęby	g eo5 b i2
zwolennikom	z v o l e n n i k o m
historię	h j s t o r j e
rozwiązać	r o z v i oc5 z a tsj
wojnę	v o j n e
opierał	o p i e r a w
uniknąć	u n i k n oc5 tsj
straszliwie	s t r a S l j v i e
feynmana	f e i2 n m a n a
zamczyska	z a m tS i2 s k a
pewnej	p e v n e j
korzystam	k o Z i2 s t a m
czyśćca	tS i2 sj tsj c a
not	n o t
straciła	s t r a tsj i w a
absolutnym	a b s o l u t n i2 m
świąt	sj v i oc5 t
czuję	tS u j e
regionalnych	r e g i o n a l n i2 h
gaszę	g a S e
rozproszonych	r o z p r o S o n i2 h
świńskim	sj v i n~ s k i m
sprytnym	s p r i2 t n i2 m
wiary	v i a r i2
odbędzie	o d b eo5 dzj e
byliśmy	b i2 l j sj m i2
zewnętrzny	z e v n eo5 t S n i2
ludzkości	l u dz k o sj tsj i
prezentację	p r e z e n t a c j e
murami	m u r a m i
wydobycia	v i2 d o b i2 tsj a
imię	i m i e
odpoczynku	o d p o tS i2 n k u
tajny	t a j n i2
krwistych	k r v i s t i2 h
